entity,owned_domain,site_role,release,release_date,model,submodel,board_family,install_method,sanitized_filename,public_owned_url,sha256,byte_size,release_state,observed_at,provenance_boundary,limitations
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19-hydro,,xil,nand,vnish-s19-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19-hydro-xil-nand-v1.3.4.tar.gz,0c7bcf1900cbd0ee12ff0ac20d0349989d5688bee19cad378ce9a23807c0d142,16165383,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19a,,xil,nand,vnish-s19a-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19a-xil-nand-v1.3.4.tar.gz,d1b0139a1dfd92697b7eee90eedadc033091890c770986c6ed21bf5f8caafcfe,16181720,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19apro,,xil,nand,vnish-s19apro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19apro-xil-nand-v1.3.4.tar.gz,a80dffb1a9d2cb076083fe1bf89a83e9fe46b1d14cae73c49baa0bc4f234d0f2,16167562,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19e-xp-hydro,,xil,nand,vnish-s19e-xp-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19e-xp-hydro-xil-nand-v1.3.4.tar.gz,7601944d5587622612fb2e1f64f7c6e7bdd9ebde5f63a8012b3ddba9471a1be7,16165832,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19i,,xil,nand,vnish-s19i-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19i-xil-nand-v1.3.4.tar.gz,30f6343baedddc3e934beb5a8261b505ac61a0e0fa300c67c8058f84c2dbaef9,16171409,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j,,bb,nand,vnish-s19j-bb-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-bb-nand-v1.3.4.tar.gz,5f1ae16b9ea8c19f9f6addc0d019eff02dcb5aebbcdfb5124fa05f26702b10c8,19253507,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j,,cv,nand,vnish-s19j-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-cv-nand-v1.3.4.tar.gz,ef4f6829b1e7510b606bdb3fc2c469e46998d2476195b42bb452557a381bf8d9,12362614,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j,,xil,nand,vnish-s19j-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-xil-nand-v1.3.4.tar.gz,20f15e964d2fe9baa3667752d17aa749d9c527cd2dcca6667463ea4944bcc43b,16165218,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j-plus,,aml,nand,vnish-s19j-plus-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-plus-aml-nand-v1.3.4.tar.gz,ab88ee0a9c3bf64204b30f7b1d7abc63aa8b8dde5e252e9ef09524673911889e,21540919,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j-plus,,bb,nand,vnish-s19j-plus-bb-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-plus-bb-nand-v1.3.4.tar.gz,d65c9437a05f1ecbf7996b17c5ea291c3e87090bd7ddaef209cc7c675cb577b3,19259391,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j-plus,,cv,nand,vnish-s19j-plus-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-plus-cv-nand-v1.3.4.tar.gz,bf0b72d5711b774ab58876458ad589f621660bbd5ad048577f6b1e62dce7eb3c,12371444,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j-plus,,xil,nand,vnish-s19j-plus-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-plus-xil-nand-v1.3.4.tar.gz,6361a55b19bc99226c94af421e24d339f5b50377f3188b4632ee0e6e5c101321,16186846,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j-xp,,aml,nand,vnish-s19j-xp-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-xp-aml-nand-v1.3.4.tar.gz,a941e456e35d781cc994cec3ce0693c08d98cfaafba3e8a2578272dbe318c438,21542047,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j-xp,,cv,nand,vnish-s19j-xp-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-xp-cv-nand-v1.3.4.tar.gz,88e1322c3973611423bf0666989e3c4f412bbe8a478112164e379fe52e4bb092,12376987,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19j-xp,,xil,nand,vnish-s19j-xp-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19j-xp-xil-nand-v1.3.4.tar.gz,d258ec81eb4b60121e8c9fea3061f25244e8a64133031ae82622fe96c5938ffa,16166134,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro,,aml,nand,vnish-s19jpro-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-aml-nand-v1.3.4.tar.gz,e2e7986d6c04faa8d935a4bef2987ae6a0ec0434a93e5225d369d53b2f1035cf,21550111,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro,,bb,nand,vnish-s19jpro-bb-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-bb-nand-v1.3.4.tar.gz,27f21cf147760746fd321e3e4a0377003765b8f62627af51d2918725198bca03,19268196,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro,,cv,nand,vnish-s19jpro-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-cv-nand-v1.3.4.tar.gz,a8ff98cdc7e43674008b7adcd58c589eb97bc274743e48efc3aa6e6ca653ff7d,12378768,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro,,xil,nand,vnish-s19jpro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-xil-nand-v1.3.4.tar.gz,8a9449ce44660e8de305dce0726ac45dbb8cd9b66b0fdee499bad08946707174,16180365,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro-a,,aml,nand,vnish-s19jpro-a-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-a-aml-nand-v1.3.4.tar.gz,afd3d25d07fb446b8ab079aa1ed0b09229073f6d7a4f2ce174c7958df954ccf4,21545066,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro-a,,bb,nand,vnish-s19jpro-a-bb-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-a-bb-nand-v1.3.4.tar.gz,6c55bb9cbd7946fb54635d7b9f832d9e1d39b62e896987a6a9bc892dbad20d6c,19249379,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro-a,,cv,nand,vnish-s19jpro-a-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-a-cv-nand-v1.3.4.tar.gz,35aa56a9b80895658868a100da25078b6d30d9a4c877b96b1901f867cb3c1878,12376595,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro-plus,,aml,nand,vnish-s19jpro-plus-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-plus-aml-nand-v1.3.4.tar.gz,eca01f752b956055b744ee277181b4ac2c859e57438c2f579e94a154c26a7f6f,21544665,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro-plus,,bb,nand,vnish-s19jpro-plus-bb-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-plus-bb-nand-v1.3.4.tar.gz,8dd843fd8574eaec5841a126d9b9d2a9818782649187b34e03d1aae8998af26a,19253839,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro-plus,,cv,nand,vnish-s19jpro-plus-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-plus-cv-nand-v1.3.4.tar.gz,4f7a681a83859e476e21d0d846df4cb4afb49bee8414cca8aa982a2c44a815d8,12357797,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19jpro-plus,,xil,nand,vnish-s19jpro-plus-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19jpro-plus-xil-nand-v1.3.4.tar.gz,03942a74e3c6a0c32c15b9ef77a07f9597f5e56ed1cf38059f781884d92caa6b,16165283,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19kpro,,aml,nand,vnish-s19kpro-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19kpro-aml-nand-v1.3.4.tar.gz,91b3239aaed1a5afc9a57f193b0233f9f5ab703142d58a8a31d002a4ea0938c3,21548876,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19kpro,,cv,nand,vnish-s19kpro-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19kpro-cv-nand-v1.3.4.tar.gz,e6bfbf24498be2546c9ce6ed81be27306b0f3d7b296e9db86fbac65f0761d195,12381544,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19kpro,,xil,nand,vnish-s19kpro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19kpro-xil-nand-v1.3.4.tar.gz,e8d2e2a4b167dbe7b658bba04fb3420ccfc5db0dd006175c189d5b0057415867,16181989,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19plus,,xil,nand,vnish-s19plus-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19plus-xil-nand-v1.3.4.tar.gz,899f3fa0e2456ec78f49b1708f6c70243a8ab9014c6baf7f04a6ca2ecf9d887e,16185534,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19pro,,xil,nand,vnish-s19pro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19pro-xil-nand-v1.3.4.tar.gz,20ff9aadf6a99729719782aad693b69aa1d9ef8db79ade9a119d9e01aac7f4c7,16182037,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19pro-a,,xil,nand,vnish-s19pro-a-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19pro-a-xil-nand-v1.3.4.tar.gz,9dd15ae23c1b79b1f4e47d40b063caa97e55cba93d229f836985abd3edc95514,16179511,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19pro-hydro,,xil,nand,vnish-s19pro-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19pro-hydro-xil-nand-v1.3.4.tar.gz,fc6c46b9f3e2e20654e446df4566a75e650847c91e260f84b1136f3fc6aae3c1,16185458,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19pro-hydro-120,,xil,nand,vnish-s19pro-hydro-120-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19pro-hydro-120-xil-nand-v1.3.4.tar.gz,0082d9991237cdfc8ba2bb1dd1778670a0b4bc938b549fa567923d82128b806f,16171604,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19pro-plus-hydro,,xil,nand,vnish-s19pro-plus-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19pro-plus-hydro-xil-nand-v1.3.4.tar.gz,7598b685c5db7dd10c7c46731cb9cbda4dead93f7457a708d569cb73f6778d08,16170622,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19xp,,aml,nand,vnish-s19xp-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19xp-aml-nand-v1.3.4.tar.gz,cbdc4e3ad9f7a5f1baec9ea1aa486b06db9b50930ee6c3a65a006fa72eb13d71,21541934,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19xp,,cv,nand,vnish-s19xp-cv-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19xp-cv-nand-v1.3.4.tar.gz,7ff5391d1b3d42c4830aa9b33a838c66646fa5322f67f4f37142802a75b2fc2e,12359683,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19xp,,xil,nand,vnish-s19xp-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19xp-xil-nand-v1.3.4.tar.gz,86b0f300eef82e347dceedb0fd4916aa8ec55807a80b606be249fe6fbc8ebb2f,16169985,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19xp-hydro,,xil,nand,vnish-s19xp-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19xp-hydro-xil-nand-v1.3.4.tar.gz,0bcca6d466a2fc1db9c4d278910221d7111cab0ad9cee65d517184c53ce0c150,16172362,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19xp-plus,,aml,nand,vnish-s19xp-plus-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19xp-plus-aml-nand-v1.3.4.tar.gz,6bbc2a4822f603e3851401a6d4f1af14f42bf5aedb91eb9de44e51a673aa1a6b,21541828,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s19xp-plus-hydro,,xil,nand,vnish-s19xp-plus-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s19xp-plus-hydro-xil-nand-v1.3.4.tar.gz,6d2c1838f724c39db6a643db10f782ab1681f61cb650de69a53cf73de3cb72bd,16166005,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s21,,aml,nand,vnish-s21-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s21-aml-nand-v1.3.4.tar.gz,5474fc4e3d97b0460cc95ca402752eb755199c38b1a61e3165e4d67550344b58,21541837,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s21-hydro,,xil,nand,vnish-s21-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s21-hydro-xil-nand-v1.3.4.tar.gz,78926aecc84dab3940d08c165450f13d8e022a7402602fe0653120babc3a9367,16180710,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s21-imm,,aml,nand,vnish-s21-imm-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s21-imm-aml-nand-v1.3.4.tar.gz,e9269a67d413c686c4a7d21af003000ba4d7fa22d4b36af8ced4d9dec511d078,21552292,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s21e-hydro,,aml,nand,vnish-s21e-hydro-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s21e-hydro-aml-nand-v1.3.4.tar.gz,50ccbe2d9c37c2286367c48756c3c81b2a9bf15277134699b46ae6925bedc92b,21560163,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s21e-hydro,,xil,nand,vnish-s21e-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s21e-hydro-xil-nand-v1.3.4.tar.gz,0790bbd3b5d57ab22f56ecc000319f87e651ee38e6466ea08c91f647bb6b18fb,16184882,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s21e-xp-hydro,,xil,nand,vnish-s21e-xp-hydro-xil-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s21e-xp-hydro-xil-nand-v1.3.4.tar.gz,0cbcbf781b3dff559fc806a00a2347be37c79afa7b325d0eb9dfda965ff342a9,16180206,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
VNISH GLOBAL,vnish.global,canonical integrity data,1.3.4,,s21plus,,aml,nand,vnish-s21plus-aml-nand-v1.3.4.tar.gz,https://vnish.global/downloads/firmware/1.3.4/stable/vnish-s21plus-aml-nand-v1.3.4.tar.gz,92afc21d30b0ab896fdb47d36f6fddb5377625415f8bcef98464704d01814c4a,21553994,historical,2026-08-12,VNISH GLOBAL public catalog metadata; binary not included.,Hash and byte-size metadata only; not a security or suitability verdict.
